"filename", "language", "PHP", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\header.php", "PHP", 142, 0, 0, 0, 0, 22, 164
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\loginoption.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\misc\simple-header.php", "PHP", 86, 0, 0, 0, 0, 14, 100
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\underconstruction\index.html", "HTML", 0, 0, 255, 0, 0, 16, 271
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\OLD_cust\src\underconstruction\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 6895, 1911, 2076, 10882
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\index.php", "PHP", 12, 0, 0, 0, 4, 9, 25
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\borrow\borrow-an-item.php", "PHP", 89, 0, 0, 0, 7, 18, 114
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\howto\book-a-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\howto\my-booked-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\library\create-lot-item.php", "PHP", 101, 0, 0, 0, 2, 14, 117
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\library\library-of-things.php", "PHP", 107, 0, 0, 0, 5, 8, 120
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\manage\add-a-user.php", "PHP", 109, 0, 0, 0, 6, 11, 126
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\manage\all-users.php", "PHP", 126, 0, 0, 0, 5, 50, 181
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\repair\all-repair-sessions.php", "PHP", 105, 0, 0, 0, 5, 8, 118
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\repair\book-a-repair.php", "PHP", 107, 0, 0, 0, 2, 3, 112
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\pages\summary.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\css.php", "PHP", 6, 0, 0, 0, 0, 0, 6
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\echo.php", "PHP", 13, 0, 0, 0, 2, 4, 19
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\js.php", "PHP", 7, 0, 0, 0, 0, 0, 7
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\new_item.php", "PHP", 20, 0, 0, 0, 6, 6, 32
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\OLD\admin\scripts\new_repair.php", "PHP", 19, 0, 0, 0, 6, 5, 30
