Date : 2023-05-06 00:17:06
Directory : c:\Users\leann\Documents\GitHub\legendary-octo-guide
Total : 179 files,  81803 codes, 21242 comments, 22815 blanks, all 125860 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         10 |     68,950 |     19,110 |     20,755 |    108,815 |
| PHP        |        162 |     11,575 |      2,132 |      1,976 |     15,683 |
| HTML       |          6 |      1,275 |          0 |         81 |      1,356 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\all-users.php                     | PHP        |        126 |          5 |         50 |        181 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\book-a-howto.php                  | PHP        |         27 |          2 |          5 |         34 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\book-a-repair.php                 | PHP        |        107 |          2 |          3 |        112 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\borrow-an-item.php                | PHP        |         89 |          7 |         18 |        114 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\config.php                        | PHP        |         10 |         10 |          3 |         23 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\create-lot-item.php               | PHP        |        101 |          2 |         14 |        117 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\footer.php                        | PHP        |         29 |          2 |          2 |         33 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\header.php                        | PHP        |        167 |          3 |         22 |        192 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\js\jquery-3.6.0.js                | JavaScript |      6,895 |      1,911 |      2,075 |     10,881 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\library-of-things.php             | PHP        |        107 |          5 |          8 |        120 |
| c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\login.php                         | PHP        |        122 |         22 |         20 |        164 |
